MfgCode|BrandID|PartNo|CodeID|Description|LanguageCode
|JVYD|AFF12090512030MB|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF12090512030MB|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF12090512030MB|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF12090512030MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF12090512030MB|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF12090512030MB|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF12090512030MBR|DES|Aodhan AFF1 20X9 5X120 ET 30mm Matte Bronze|EN
|JVYD|AFF12090512030MBR|LAB|Aodhan Wheels|EN
|JVYD|AFF12090512030MBR|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF12090512030MBR|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF12090512030MBR|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF12090512030MBR|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF12090512030MBR|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF12090512030MBR|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF12090512030SMF|DES|Aodhan AFF1 20X9 5X120 ET 30mm Gloss Silver Machined Face|EN
|JVYD|AFF12090512030SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF12090512030SMF|MKT|The Aodhan AFF1 is part of Aodhan’s Flow Formed series, designed to deliver lightweight performance without sacrificing strength. With its sleek multi-spoke layout and modern styling, the AFF1 enhances both the look and handling of performance-oriented vehicles.|EN
|JVYD|AFF12090512030SMF|FAB|[PERFORMANCE UPGRADE] - Engineered for enthusiasts seeking style, strength, and driving dynamics.|EN
|JVYD|AFF12090512030SMF|FAB|[DURABLE FINISHES] - High-quality coatings resist corrosion and maintain their premium look.|EN
|JVYD|AFF12090512030SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Reduces unsprung weight for improved acceleration, braking, and handling.|EN
|JVYD|AFF12090512030SMF|FAB|[SLEEK MULTI-SPOKE DESIGN] - Modern styling that adds a refined yet aggressive appearance.|EN
|JVYD|AFF12090512030SMF|FAB|[FLOW FORMED TECHNOLOGY] - Provides a stronger and lighter wheel compared to traditional cast construction.|EN
|JVYD|AFF21985511235BZ|DES|Aodhan AFF2 19X8.5 5X112 ET 35mm Matte Bronze|EN
|JVYD|AFF21985511235BZ|LAB|Aodhan Wheels|EN
|JVYD|AFF21985511235BZ|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985511235BZ|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985511235BZ|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985511235BZ|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985511235BZ|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985511235BZ|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985511235MB|DES|Aodhan AFF2 19X8.5 5X112 ET 35mm Matte Black|EN
|JVYD|AFF21985511235MB|LAB|Aodhan Wheels|EN
|JVYD|AFF21985511235MB|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985511235MB|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985511235MB|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985511235MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985511235MB|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985511235MB|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985511235MG|DES|Aodhan AFF2 19X8.5 5X112 ET 35mm Matte Gray|EN
|JVYD|AFF21985511235MG|LAB|Aodhan Wheels|EN
|JVYD|AFF21985511235MG|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985511235MG|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985511235MG|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985511235MG|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985511235MG|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985511235MG|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985511235SMF|DES|Aodhan AFF2 19X8.5 5X112 ET 35mm Gloss Silver Machined Face|EN
|JVYD|AFF21985511235SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF21985511235SMF|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985511235SMF|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985511235SMF|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985511235SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985511235SMF|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985511235SMF|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF219855114335BZ|DES|Aodhan AFF2 19X8.5 5X114.3 ET 35mm Matte Bronze|EN
|JVYD|AFF219855114335BZ|LAB|Aodhan Wheels|EN
|JVYD|AFF219855114335BZ|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF219855114335BZ|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF219855114335BZ|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF219855114335BZ|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF219855114335BZ|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF219855114335BZ|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF219855114335MB|DES|Aodhan AFF2 19X8.5 5X114.3 ET 35mm Matte Black|EN
|JVYD|AFF219855114335MB|LAB|Aodhan Wheels|EN
|JVYD|AFF219855114335MB|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF219855114335MB|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF219855114335MB|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF219855114335MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF219855114335MB|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF219855114335MB|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF219855114335MG|DES|Aodhan AFF2 19X8.5 5X114.3 ET 35mm Matte Gray|EN
|JVYD|AFF219855114335MG|LAB|Aodhan Wheels|EN
|JVYD|AFF219855114335MG|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF219855114335MG|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF219855114335MG|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF219855114335MG|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF219855114335MG|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF219855114335MG|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF219855114335SMF|DES|Aodhan AFF2 19X8.5 5X114.3 ET 35mm Gloss Silver Machined Face|EN
|JVYD|AFF219855114335SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF219855114335SMF|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF219855114335SMF|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF219855114335SMF|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF219855114335SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF219855114335SMF|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF219855114335SMF|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985512035BZ|DES|Aodhan AFF2 19X8.5 5X120 ET 35mm Matte Bronze|EN
|JVYD|AFF21985512035BZ|LAB|Aodhan Wheels|EN
|JVYD|AFF21985512035BZ|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985512035BZ|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985512035BZ|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985512035BZ|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985512035BZ|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985512035BZ|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985512035MB|DES|Aodhan AFF2 19X8.5 5X120 ET 35mm Matte Black|EN
|JVYD|AFF21985512035MB|LAB|Aodhan Wheels|EN
|JVYD|AFF21985512035MB|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985512035MB|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985512035MB|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985512035MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985512035MB|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985512035MB|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985512035MG|DES|Aodhan AFF2 19X8.5 5X120 ET 35mm Matte Gray|EN
|JVYD|AFF21985512035MG|LAB|Aodhan Wheels|EN
|JVYD|AFF21985512035MG|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985512035MG|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985512035MG|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985512035MG|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985512035MG|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985512035MG|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21985512035SMF|DES|Aodhan AFF2 19X8.5 5X120 ET 35mm Gloss Silver Machined Face|EN
|JVYD|AFF21985512035SMF|LAB|Aodhan Wheels|EN
|JVYD|AFF21985512035SMF|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21985512035SMF|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21985512035SMF|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21985512035SMF|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21985512035SMF|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21985512035SMF|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21995511235BZ|DES|Aodhan AFF2 19X9.5 5X112 ET 35mm Matte Bronze|EN
|JVYD|AFF21995511235BZ|LAB|Aodhan Wheels|EN
|JVYD|AFF21995511235BZ|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21995511235BZ|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21995511235BZ|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21995511235BZ|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21995511235BZ|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
|JVYD|AFF21995511235BZ|FAB|[FLOW FORM TECHNOLOGY] - Engineered using flow-forming construction for reduced weight and increased strength.|EN
|JVYD|AFF21995511235MB|DES|Aodhan AFF2 19X9.5 5X112 ET 35mm Matte Black|EN
|JVYD|AFF21995511235MB|LAB|Aodhan Wheels|EN
|JVYD|AFF21995511235MB|MKT|The Aodhan AFF2 brings a sleek, performance-oriented design with advanced flow-forming technology. Built for enthusiasts who value both aesthetics and engineering, this wheel delivers lightweight strength and a modern look for a wide range of builds.|EN
|JVYD|AFF21995511235MB|FAB|[VERSATILE STYLE] - Suited for performance cars, stance builds, and enthusiasts seeking a premium aesthetic.|EN
|JVYD|AFF21995511235MB|FAB|[DURABILITY] - Built to handle daily driving while maintaining structural integrity under demanding conditions.|EN
|JVYD|AFF21995511235MB|FAB|[LIGHTWEIGHT PERFORMANCE] - Optimized for improved handling and acceleration response.|EN
|JVYD|AFF21995511235MB|FAB|[MODERN DESIGN] - Features a clean, multi-spoke profile that enhances both street and performance vehicles.|EN
